Ticker Symbol,Period Ending,Current Ratio,Cash Ratio,Quick Ratio,Pre-Tax ROE,After Tax ROE,Earnings Per Share,Profit Margin,Operating Margin,Gross Margin,Approximate Tobin_s Q,EBITDA,ROA,Total Debt Ratio,Debt/EBITA,GICS Sector
AAL,12/31/2012,78.0,53.0,72.0,31,23,-5.6,8,1,58,0.550770949,-812000000,0.08719693747341557,1.0587409612930667,-10.511083743842365,Industrials
AAL,12/31/2013,104.0,75.0,96.0,80,67,-11.25,7,5,59,0.493725825,-304000000,0.044302001040730406,1.064596243909362,-55.25986842105263,Industrials
AAL,12/31/2014,88.0,60.0,80.0,159,143,4.02,7,10,63,1.301676317,5441000000,0.01253903990746096,0.9532446500867553,3.2567542731115604,Industrials
AAL,12/31/2015,73.0,51.0,67.0,82,135,11.39,19,15,73,1.010426002,6983000000,-0.054982959826500054,0.8836104513064132,2.9444364886152083,Industrials
AAP,12/28/2012,124.0,23.0,34.0,52,32,5.29,6,11,50,1.262291087,847459000,0.005052436010641087,0.7375936697924971,0.714002683315653,Consumer Discretionary
AAP,12/27/2013,144.0,40.0,52.0,41,26,5.36,6,10,50,1.6355441469999998,870811000,-0.00037521739427333437,0.7275352062815129,1.2098882535934894,Consumer Discretionary
AAP,1/2/2015,130.0,3.0,22.0,39,25,6.75,5,9,45,1.6729708269999999,1139495000,0.009494423636817134,0.7484524056818345,1.436507400207987,Consumer Discretionary
AAP,12/31/2015,130.0,2.0,20.0,31,19,6.45,5,8,45,1.5105871130000001,1087772000,0.003718699156008957,0.6975071193112354,1.1158211463431675,Consumer Discretionary
AAPL,9/27/2013,168.0,93.0,164.0,41,30,40.03,22,29,38,0.390511936,56912000000,0.01639613526570048,0.4031449275362319,0.2980039359010402,Information Technology
AAPL,9/26/2014,108.0,40.0,105.0,48,35,6.49,22,29,39,2.768671888,61429000000,0.022472491686040742,0.5188600709975457,0.574565758843543,Information Technology
AAPL,9/25/2015,111.0,52.0,108.0,61,45,9.28,23,30,40,2.511865869,83772000000,0.017110678675368956,0.5889200778384336,0.7678938069999522,Information Technology
AAPL,9/23/2016,135.0,85.0,133.0,48,36,8.35,21,28,39,2.20215536,71877000000,0.028437669031291385,0.6013224075651412,1.2108463068853736,Information Technology
ABBV,1/2/2013,227.0,118.0,210.0,1636,1507,,29,32,75,,6959000000,0.020031101895734597,1.0129591232227488,2.2520477080040235,Health Care
ABBV,12/31/2013,259.0,144.0,243.0,119,92,2.58,22,30,76,3.403075635,6507000000,0.02000136995684636,0.8461538461538461,2.2626402335945905,Health Care
ABBV,12/31/2014,141.0,74.0,131.0,136,102,1.11,9,17,78,4.382871346,3546000000,0.06458764947479373,0.9366844764293243,4.223632261703328,Health Care
ABBV,12/31/2015,150.0,77.0,134.0,168,130,3.15,23,33,80,2.424564637,8167000000,0.019811498586239398,0.925636192271442,3.877923350067344,Health Care
ABC,9/30/2013,97.0,8.0,50.0,36,19,1.88,0,1,3,0.817660023,1069148000,0.012446773388232283,0.877383086456858,1.3062793925630503,Health Care
ABC,9/30/2014,97.0,10.0,48.0,34,14,1.22,0,1,2,0.901458132,950114000,0.042378657101325955,0.9091174824215454,2.100413213572266,Health Care
ABC,9/30/2015,94.0,10.0,49.0,44,22,-0.62,0,0,3,0.8950723340000001,633988000,0.05640997086791387,0.977957071960351,5.89794286327186,Health Care
ABC,9/30/2016,90.0,11.0,48.0,65,67,6.73,1,1,3,0.644008794,1922988000,0.009810881798895894,0.9367307063780225,2.3304321191811908,Health Care
ABT,12/31/2012,236.0,114.0,207.0,1,22,3.76,31,7,53,1.03807218,2882000000,0.0361121439726333,0.6025730646240797,7.104788341429563,Health Care
ABT,12/31/2013,202.0,85.0,174.0,8,10,1.64,13,11,53,1.555337625,3905000000,0.00619281540288222,0.4139873815565851,1.6801536491677336,Health Care
ABT,12/31/2014,130.0,43.0,104.0,12,11,1.5,11,13,54,1.86614315,4216000000,0.008081151260708132,0.47761302691290314,1.8572106261859582,Health Care
ABT,12/31/2015,154.0,67.0,126.0,15,21,2.94,22,14,57,1.859893436,4818000000,-0.0672291318156472,0.4857565398695663,1.8682025736820258,Health Care
ADBE,11/29/2013,265.0,208.0,265.0,5,4,0.58,7,10,86,2.888886201,744876000,0.03639895502036647,0.35217331910895044,2.032516821591782,Information Technology
ADBE,11/28/2014,185.0,150.0,185.0,5,4,0.54,6,10,85,3.523015086,734698000,0.028687363762210583,0.37177707898020634,2.0611394069399944,Information Technology
ADBE,11/27/2015,218.0,180.0,218.0,12,9,1.26,13,19,84,4.083235032,1277438000,0.020191324381280237,0.40292527880508305,1.4930125767356224,Information Technology
ADBE,12/2/2016,208.0,169.0,208.0,19,16,,20,26,86,,1837115000,0.029849263963477465,0.415694625860758,1.0353559793480538,Information Technology
ADI,11/1/2013,959.0,821.0,910.0,17,14,2.19,26,29,64,2.530692595,952841000,-0.008212167508912132,0.2573234614329925,0.9154108607836985,Information Technology
ADI,10/31/2014,538.0,404.0,486.0,15,13,0.35,22,26,64,13.0143296,906099000,-0.0065173499093982385,0.306397665200614,0.9632380126233447,Information Technology
ADI,10/30/2015,366.0,272.0,329.0,16,14,0.31,20,24,66,19.283859600000003,1059384000,-0.00019351794227243614,0.2813260710743518,0.8211706048043014,Information Technology
ADI,10/28/2016,635.0,518.0,587.0,19,17,0.96,25,30,65,7.367206597999999,1255468000,0.011160463913554835,0.3518898587978989,1.379706213141235,Information Technology
ADM,12/31/2012,175.0,35.0,94.0,10,7,,2,2,4,,3295000000,0.0034562211981566822,0.5761476426799007,4.29165402124431,Consumer Staples
ADM,12/31/2013,182.0,48.0,109.0,10,7,2.03,1,2,4,0.815581817,3346000000,0.0006856829402084476,0.538443956847687,2.0531978481769277,Consumer Staples
ADM,12/31/2014,167.0,42.0,107.0,16,11,3.44,3,3,6,0.90768611,4361000000,-0.010114325976771144,0.5538332159010841,1.2978674615913781,Consumer Staples
ADM,12/31/2015,162.0,49.0,101.0,13,10,2.99,3,3,6,0.7108934309999999,3474000000,-0.012351520282889657,0.5538760365565156,1.6917098445595855,Consumer Staples
ADS,12/31/2012,181.0,28.0,181.0,129,80,8.44,12,27,34,1.183126381,1248627000,0.03651974364630276,0.9559599267975146,5.5947925201040825,Information Technology
ADS,12/31/2013,230.0,33.0,230.0,93,58,10.09,11,25,33,1.530771435,1406200000,0.033814958438212125,0.9353862583608881,5.256860332811834,Information Technology
ADS,12/31/2014,219.0,25.0,219.0,35,21,8.72,10,21,31,1.285484474,1448277000,0.029126562865719793,0.881741871301966,6.491273423523262,Information Technology
ADS,12/31/2015,254.0,25.0,254.0,46,30,8.91,9,20,30,1.339500122,1786327000,0.028465071762652738,0.910353882800824,6.468953892540392,Information Technology
ADSK,1/31/2013,245.0,187.0,245.0,15,12,1.09,11,13,90,2.2184120640000002,437800000,0.04502831677652957,0.5257636245473958,1.7030607583371402,Information Technology
ADSK,1/31/2014,265.0,212.0,265.0,12,10,1.02,10,13,88,2.652588278,413700000,0.015321001088139281,0.5078346028291622,1.804205946337926,Information Technology
ADSK,1/30/2015,191.0,145.0,191.0,4,4,0.36,3,5,86,2.668768446,266600000,0.033729148420473754,0.5479968226164531,2.7873218304576146,Information Technology
ADSK,1/29/2016,188.0,141.0,188.0,1,20,-1.46,13,0,85,2.1688455159999998,147100000,0.07399416169564665,0.7063441698547677,10.113528212100611,Information Technology
AEE,12/31/2012,134.0,7.0,113.0,13,15,-4.01,17,21,40,0.614524182,1957000000,0.09109311740890688,0.7023841655420603,3.1931527848748082,Utilities
AEE,12/31/2013,80.0,1.0,59.0,13,5,1.19,5,20,40,0.730975624,1988000000,0.03340937173272503,0.6890029464879764,3.222334004024145,Utilities
AEE,12/31/2014,75.0,0.0,52.0,14,9,2.42,10,21,41,0.822967937,2124000000,0.01852931939521737,0.6988200457624837,3.257532956685499,Utilities
AEE,12/31/2015,92.0,14.0,66.0,14,9,2.6,10,21,43,0.771522197,2199000000,0.015524534686971235,0.706175972927242,3.4452023647112324,Utilities
AEP,12/31/2012,67.0,10.0,45.0,12,8,2.6,8,18,57,0.725152839,4728000000,0.012434013280114776,0.7197380764066438,3.9959813874788495,Utilities
AEP,12/31/2013,71.0,9.0,47.0,13,9,3.04,10,19,55,0.745398285,4826400000,0.008751373772467827,0.714875740064523,3.983092988562904,Utilities
AEP,12/31/2014,56.0,8.0,40.0,14,10,3.34,10,19,53,0.839672821,5312700000,0.01242597985375668,0.7175193048571995,3.755152747190694,Utilities
