,date,symbol,open,close,low,high,volume,close_open_difference
648,2010-01-04,T,28.41,28.58,28.280001000000002,28.610001,29136600.0,0.16999999999999815
1116,2010-01-05,T,28.700001,28.440001000000002,28.35,28.73,35234500.0,-0.259999999999998
1584,2010-01-06,T,27.950001,27.610001,27.549999,28.030001000000002,37894600.0,-0.33999999999999986
2052,2010-01-07,T,27.58,27.299999,27.120001000000002,27.690001000000002,33600300.0,-0.2800009999999986
2520,2010-01-08,T,27.290001,27.1,26.879998999999998,27.389999,27633400.0,-0.19000099999999875
2988,2010-01-11,T,27.18,26.969998999999998,26.85,27.219998999999998,25791200.0,-0.21000100000000188
3456,2010-01-12,T,26.85,26.959999,26.780001000000002,27.110001,26307800.0,0.1099989999999984
3924,2010-01-13,T,27.0,26.639999,26.530001000000002,27.1,42590900.0,-0.36000100000000046
4392,2010-01-14,T,26.639999,26.190001000000002,26.08,26.85,42246100.0,-0.44999799999999723
4860,2010-01-15,T,26.25,25.790001,25.65,26.27,64018300.0,-0.4599989999999998
5328,2010-01-19,T,25.92,26.200001,25.799999,26.25,33961700.0,0.2800009999999986
5796,2010-01-20,T,26.030001000000002,25.83,25.700001,26.030001000000002,39087000.0,-0.20000100000000387
6264,2010-01-21,T,25.92,25.67,25.4,25.98,40074900.0,-0.25
6732,2010-01-22,T,25.52,25.389999,25.360001,25.83,38379700.0,-0.13000100000000003
7200,2010-01-25,T,25.73,25.58,25.32,25.9,29901500.0,-0.15000000000000213
7668,2010-01-26,T,25.4,25.33,25.059998999999998,25.51,34168600.0,-0.07000000000000028
8136,2010-01-27,T,25.209999,25.620001000000002,25.1,26.120001000000002,58991800.0,0.4100020000000022
8604,2010-01-28,T,25.700001,25.540001,25.290001,26.15,52058900.0,-0.16000000000000014
9072,2010-01-29,T,25.610001,25.360001,25.35,25.75,38921000.0,-0.25
9540,2010-02-01,T,25.67,25.379998999999998,25.280001000000002,25.709999,36774400.0,-0.29000100000000373
10008,2010-02-02,T,25.370001000000002,25.690001000000002,25.27,25.84,31119800.0,0.3200000000000003
10476,2010-02-03,T,25.629998999999998,25.58,25.4,25.809998999999998,22954100.0,-0.04999899999999968
10944,2010-02-04,T,25.43,25.030001000000002,25.030001000000002,25.49,32334600.0,-0.39999899999999755
11412,2010-02-05,T,25.120001000000002,25.24,24.959999,25.309998999999998,50883200.0,0.11999899999999641
11880,2010-02-08,T,25.190001000000002,24.98,24.959999,25.27,27173100.0,-0.21000100000000188
12348,2010-02-09,T,25.18,25.26,25.049999,25.42,34939200.0,0.08000000000000185
12816,2010-02-10,T,25.23,25.120001000000002,25.01,25.25,26649500.0,-0.1099989999999984
13284,2010-02-11,T,25.049999,25.190001000000002,24.83,25.379998999999998,27447000.0,0.14000200000000262
13752,2010-02-12,T,25.030001000000002,25.07,24.860001,25.15,34113100.0,0.03999899999999812
14220,2010-02-16,T,25.299999,25.32,25.129998999999998,25.49,25903700.0,0.0200010000000006
14688,2010-02-17,T,25.41,25.4,25.200001,25.52,19506300.0,-0.010000000000001563
15156,2010-02-18,T,25.4,25.24,25.16,25.530001000000002,27028500.0,-0.16000000000000014
15624,2010-02-19,T,25.200001,25.1,25.02,25.4,34699600.0,-0.1000009999999989
16092,2010-02-22,T,25.129998999999998,25.02,24.969998999999998,25.16,31106800.0,-0.1099989999999984
16560,2010-02-23,T,25.0,24.83,24.83,25.030001000000002,28515800.0,-0.1700000000000017
17028,2010-02-24,T,24.879998999999998,24.91,24.799999,24.950001,28970800.0,0.030001000000002165
17496,2010-02-25,T,24.76,24.77,24.610001,24.860001,29583200.0,0.00999999999999801
17964,2010-02-26,T,24.860001,24.809998999999998,24.709999,24.91,29183900.0,-0.050002000000002766
18432,2010-03-01,T,24.91,25.0,24.83,25.07,24906000.0,0.08999999999999986
18900,2010-03-02,T,25.0,24.879998999999998,24.709999,25.059998999999998,33402000.0,-0.12000100000000202
19368,2010-03-03,T,25.030001000000002,24.889999,24.809998999999998,25.030001000000002,20695100.0,-0.14000200000000262
19836,2010-03-04,T,24.9,24.959999,24.799999,25.0,28731200.0,0.059999000000001246
20304,2010-03-05,T,25.030001000000002,24.99,24.82,25.049999,27959100.0,-0.04000100000000373
20772,2010-03-08,T,25.049999,25.280001000000002,24.9,25.360001,24682700.0,0.23000200000000248
21240,2010-03-09,T,25.34,25.559998999999998,25.299999,25.73,43463200.0,0.21999899999999784
21708,2010-03-10,T,25.610001,25.52,25.370001000000002,25.719998999999998,23535700.0,-0.09000100000000089
22176,2010-03-11,T,25.42,25.6,25.299999,25.6,21760600.0,0.17999999999999972
22644,2010-03-12,T,25.690001000000002,25.620001000000002,25.41,25.73,17818100.0,-0.07000000000000028
23112,2010-03-15,T,25.68,25.780001000000002,25.559998999999998,25.799999,20320300.0,0.10000100000000245
23580,2010-03-16,T,25.860001,25.85,25.709999,25.99,17620400.0,-0.010000999999999038
24048,2010-03-17,T,25.950001,25.9,25.85,25.99,18104200.0,-0.05000100000000174
24516,2010-03-18,T,25.959999,26.059998999999998,25.9,26.09,17009600.0,0.09999999999999787
24984,2010-03-19,T,26.24,26.24,25.99,26.309998999999998,35866700.0,0.0
25452,2010-03-22,T,26.190001000000002,26.4,26.08,26.540001,24538400.0,0.20999899999999627
25920,2010-03-23,T,26.48,26.549999,26.33,26.57,18136300.0,0.06999899999999926
26388,2010-03-24,T,26.42,26.26,26.120001000000002,26.5,20422000.0,-0.16000000000000014
26856,2010-03-25,T,26.43,26.15,26.110001,26.440001000000002,24093000.0,-0.28000000000000114
27324,2010-03-26,T,26.17,26.24,26.110001,26.5,18059800.0,0.06999999999999673
27792,2010-03-29,T,26.35,26.51,26.299999,26.57,20319800.0,0.16000000000000014
28260,2010-03-30,T,26.23,25.950001,25.84,26.33,52251000.0,-0.2799990000000001
28728,2010-03-31,T,25.9,25.84,25.75,26.040001,36706500.0,-0.05999999999999872
29196,2010-04-01,T,26.049999,26.110001,25.91,26.209999,20557700.0,0.06000200000000078
29664,2010-04-05,T,26.299999,26.309998999999998,26.129998999999998,26.360001,23973200.0,0.00999999999999801
30132,2010-04-06,T,26.27,26.309998999999998,26.15,26.360001,21369600.0,0.03999899999999812
30600,2010-04-07,T,26.0,25.65,25.48,26.030001000000002,31369800.0,-0.3500000000000014
31068,2010-04-08,T,25.610001,26.02,25.6,26.059998999999998,36555700.0,0.4099989999999991
31536,2010-04-09,T,26.110001,26.440001000000002,26.059998999999998,26.51,39742000.0,0.33000000000000185
32004,2010-04-12,T,26.57,26.379998999999998,26.34,26.67,22939700.0,-0.1900010000000023
32472,2010-04-13,T,26.32,26.200001,26.02,26.43,38015700.0,-0.11999899999999997
32940,2010-04-14,T,26.17,26.24,26.02,26.24,27712000.0,0.06999999999999673
33408,2010-04-15,T,26.16,26.24,26.040001,26.299999,27991400.0,0.0799999999999983
33876,2010-04-16,T,26.200001,25.93,25.91,26.35,31981500.0,-0.2700010000000006
34344,2010-04-19,T,26.09,26.379998999999998,25.950001,26.450001,33300300.0,0.2899989999999981
34812,2010-04-20,T,26.42,26.66,26.360001,26.74,34479700.0,0.23999999999999844
35280,2010-04-21,T,26.74,26.34,26.139999,26.75,44749800.0,-0.3999999999999986
35748,2010-04-22,T,26.09,26.27,25.790001,26.309998999999998,32944900.0,0.17999999999999972
36216,2010-04-23,T,26.17,26.25,25.99,26.290001,28020900.0,0.0799999999999983
36684,2010-04-26,T,26.23,26.27,26.209999,26.42,17780000.0,0.03999999999999915
37152,2010-04-27,T,26.200001,25.950001,25.879998999999998,26.309998999999998,33871100.0,-0.25
37621,2010-04-28,T,26.0,25.91,25.629998999999998,26.1,34156700.0,-0.08999999999999986
38090,2010-04-29,T,26.08,26.139999,25.940001000000002,26.299999,25633000.0,0.059999000000001246
38559,2010-04-30,T,26.209999,26.059998999999998,26.049999,26.5,33741000.0,-0.15000000000000213
39028,2010-05-03,T,26.24,26.280001000000002,26.07,26.43,27076400.0,0.04000100000000373
39497,2010-05-04,T,26.32,25.9,25.75,26.43,31360000.0,-0.4200000000000017
39966,2010-05-05,T,25.9,25.77,25.74,26.139999,33486400.0,-0.129999999999999
40435,2010-05-06,T,25.709999,25.139999,24.040001,25.74,67762600.0,-0.5700000000000003
40904,2010-05-07,T,25.209999,25.1,24.77,25.49,51364100.0,-0.1099989999999984
41373,2010-05-10,T,25.77,25.67,25.4,26.02,40834900.0,-0.09999999999999787
41842,2010-05-11,T,25.5,25.639999,25.34,25.809998999999998,32370000.0,0.13999899999999954
42311,2010-05-12,T,25.73,25.82,25.559998999999998,25.889999,29324900.0,0.08999999999999986
42780,2010-05-13,T,25.799999,25.74,25.620001000000002,25.969998999999998,22942900.0,-0.059999000000001246
43249,2010-05-14,T,25.73,25.4,25.18,25.780001000000002,37799000.0,-0.33000000000000185
43718,2010-05-17,T,25.450001,25.77,25.290001,25.889999,29926000.0,0.31999899999999926
44187,2010-05-18,T,25.860001,25.59,25.309998999999998,25.9,37965200.0,-0.2700010000000006
44656,2010-05-19,T,25.530001000000002,25.57,25.299999,25.709999,30793800.0,0.03999899999999812
45125,2010-05-20,T,25.280001000000002,24.959999,24.860001,25.299999,41239300.0,-0.32000200000000234
45594,2010-05-21,T,24.360001,24.85,24.360001,24.870001000000002,54268200.0,0.48999900000000096
46063,2010-05-24,T,24.709999,24.43,24.299999,24.75,30011000.0,-0.2799990000000001
46532,2010-05-25,T,24.09,24.32,23.780001000000002,24.389999,52236300.0,0.23000000000000043
47001,2010-05-26,T,24.309998999999998,24.129998999999998,24.02,24.42,37666100.0,-0.17999999999999972
47470,2010-05-27,T,24.41,24.629998999999998,24.25,24.66,27557500.0,0.21999899999999784
47939,2010-05-28,T,24.6,24.299999,24.290001,24.73,30332100.0,-0.30000100000000174
48408,2010-06-01,T,24.27,24.33,24.120001000000002,24.799999,29740900.0,0.05999999999999872
48877,2010-06-02,T,24.440001000000002,24.780001000000002,24.389999,24.790001,25626800.0,0.33999999999999986
49346,2010-06-03,T,24.879998999999998,24.799999,24.610001,24.93,23550400.0,-0.0799999999999983
49815,2010-06-04,T,24.52,24.17,24.030001000000002,24.540001,36869800.0,-0.34999999999999787
50284,2010-06-07,T,24.33,24.32,24.209999,24.65,37372700.0,-0.00999999999999801
50753,2010-06-08,T,24.41,24.969998999999998,24.35,25.030001000000002,41472800.0,0.5599989999999977
51222,2010-06-09,T,25.1,24.9,24.799999,25.209999,33181300.0,-0.20000000000000284
51691,2010-06-10,T,25.200001,25.440001000000002,25.18,25.52,33073200.0,0.240000000000002
52160,2010-06-11,T,25.209999,25.290001,25.030001000000002,25.34,23740200.0,0.08000200000000035
52629,2010-06-14,T,25.370001000000002,25.17,25.15,25.549999,24880400.0,-0.20000100000000032
53098,2010-06-15,T,25.34,25.540001,25.209999,25.540001,20988600.0,0.20000100000000032
53567,2010-06-16,T,25.450001,25.52,25.32,25.530001000000002,19946600.0,0.06999899999999926
54036,2010-06-17,T,25.549999,25.57,25.120001000000002,25.57,23737000.0,0.0200010000000006
54505,2010-06-18,T,25.620001000000002,25.43,25.23,25.66,40557800.0,-0.1900010000000023
54974,2010-06-21,T,25.58,25.440001000000002,25.35,25.610001,16788000.0,-0.139998999999996
55443,2010-06-22,T,25.43,25.360001,25.290001,25.6,25787100.0,-0.06999899999999926
55912,2010-06-23,T,25.4,25.440001000000002,25.35,25.6,25835100.0,0.04000100000000373
56381,2010-06-24,T,25.35,25.049999,25.0,25.52,27449600.0,-0.30000100000000174
56850,2010-06-25,T,25.129998999999998,24.790001,24.68,25.15,51771200.0,-0.3399979999999978
57319,2010-06-28,T,24.879998999999998,24.950001,24.85,25.18,21838100.0,0.07000200000000234
57788,2010-06-29,T,24.860001,24.459999,24.27,24.9,52848900.0,-0.40000200000000063
58257,2010-06-30,T,24.35,24.190001000000002,24.110001,24.440001000000002,37193800.0,-0.15999899999999911
58726,2010-07-01,T,24.26,24.34,24.0,24.4,51182800.0,0.0799999999999983
59195,2010-07-02,T,24.42,24.290001,24.1,24.43,23201000.0,-0.12999900000000153
59664,2010-07-06,T,24.469998999999998,24.41,24.190001000000002,24.5,35997200.0,-0.05999899999999769
60133,2010-07-07,T,24.01,24.33,23.879998999999998,24.4,31799800.0,0.31999999999999673
60602,2010-07-08,T,24.389999,24.57,24.200001,24.58,23429800.0,0.18000100000000074
61071,2010-07-09,T,24.6,24.83,24.549999,24.879998999999998,19636200.0,0.22999999999999687
61540,2010-07-12,T,24.75,24.84,24.610001,24.860001,17332700.0,0.08999999999999986
62009,2010-07-13,T,24.93,24.950001,24.91,25.18,26169600.0,0.0200010000000006
62478,2010-07-14,T,24.860001,24.959999,24.790001,25.110001,21052100.0,0.09999799999999937
62947,2010-07-15,T,24.99,25.0,24.75,25.049999,37460800.0,0.010000000000001563
63416,2010-07-16,T,24.969998999999998,24.690001000000002,24.65,25.1,33275000.0,-0.27999799999999553
63885,2010-07-19,T,24.809998999999998,24.879998999999998,24.75,24.959999,18947500.0,0.07000000000000028
64354,2010-07-20,T,24.690001000000002,24.790001,24.5,24.799999,24054900.0,0.09999999999999787
64823,2010-07-21,T,24.889999,24.92,24.73,25.17,28987100.0,0.030001000000002165
65292,2010-07-22,T,25.389999,25.51,25.360001,25.83,47961300.0,0.12000100000000202
65761,2010-07-23,T,25.84,25.540001,25.450001,25.92,32688000.0,-0.2999989999999997
66230,2010-07-26,T,25.73,25.959999,25.67,26.09,26246700.0,0.2299989999999994
66699,2010-07-27,T,26.02,26.15,26.02,26.41,26093700.0,0.129999999999999
67168,2010-07-28,T,26.24,26.200001,26.02,26.35,33573700.0,-0.03999899999999812
67637,2010-07-29,T,26.34,26.02,25.91,26.4,32620400.0,-0.3200000000000003
68106,2010-07-30,T,25.799999,25.940001000000002,25.790001,26.1,25601700.0,0.14000200000000262
68575,2010-08-02,T,26.5,26.59,26.34,26.690001000000002,35123700.0,0.08999999999999986
69044,2010-08-03,T,26.6,26.690001000000002,26.58,26.889999,24421300.0,0.09000100000000089
69513,2010-08-04,T,26.620001000000002,26.639999,26.389999,26.75,26163600.0,0.019997999999997518
69982,2010-08-05,T,26.51,26.74,26.51,26.9,23511100.0,0.22999999999999687
70451,2010-08-06,T,26.530001000000002,26.540001,26.23,26.65,26401300.0,0.00999999999999801
70920,2010-08-09,T,26.67,26.860001,26.59,26.959999,22439000.0,0.19000099999999875
71389,2010-08-10,T,26.709999,27.01,26.66,27.08,26646100.0,0.30000100000000174
71858,2010-08-11,T,26.66,26.549999,26.51,26.790001,29114200.0,-0.11000100000000046
72327,2010-08-12,T,26.459999,26.66,26.4,26.950001,30528000.0,0.20000100000000032
72796,2010-08-13,T,26.620001000000002,26.719998999999998,26.540001,26.879998999999998,23741500.0,0.09999799999999581
73265,2010-08-16,T,26.629998999999998,26.65,26.48,26.709999,19872000.0,0.0200010000000006
73734,2010-08-17,T,26.700001,26.969998999999998,26.700001,27.1,27517200.0,0.2699979999999975
74203,2010-08-18,T,26.950001,27.280001000000002,26.85,27.389999,29739100.0,0.33000000000000185
74672,2010-08-19,T,27.200001,26.969998999999998,26.799999,27.299999,26642500.0,-0.23000200000000248
75141,2010-08-20,T,26.799999,26.450001,26.33,26.879998999999998,35585200.0,-0.34999799999999937
75610,2010-08-23,T,26.59,26.49,26.48,26.790001,33930100.0,-0.10000000000000142
76079,2010-08-24,T,26.280001000000002,26.719998999999998,26.200001,26.85,34139000.0,0.43999799999999567
76548,2010-08-25,T,26.58,26.889999,26.440001000000002,26.99,38078500.0,0.30999900000000125
